arquivo;algoritmo;estrutura;execucao;tempo_ms
sample100-1980.gr;DIJKSTRA;LISTA;10;4,9617
sample100-1980.gr;DIJKSTRA;LISTA;11;6,3021
sample100-1980.gr;DIJKSTRA;MATRIZ;1;5,2450
sample100-1980.gr;DIJKSTRA;MATRIZ;2;3,8769
sample100-1980.gr;DIJKSTRA;MATRIZ;3;3,4919
sample100-1980.gr;DIJKSTRA;MATRIZ;4;3,3288
sample100-1980.gr;DIJKSTRA;MATRIZ;5;3,0499
sample100-1980.gr;DIJKSTRA;MATRIZ;6;3,1683
sample100-1980.gr;DIJKSTRA;MATRIZ;7;3,2486
sample100-1980.gr;DIJKSTRA;MATRIZ;8;4,2055
sample100-1980.gr;DIJKSTRA;MATRIZ;9;3,5261
sample100-1980.gr;DIJKSTRA;MATRIZ;10;3,0324
sample100-1980.gr;DIJKSTRA;MATRIZ;11;3,1306
sample100-1980.gr;BELLMANFORD;LISTA;1;11,7427
sample100-1980.gr;BELLMANFORD;LISTA;2;7,0094
sample100-1980.gr;BELLMANFORD;LISTA;3;6,1088
sample100-1980.gr;BELLMANFORD;LISTA;4;6,4321
sample100-1980.gr;BELLMANFORD;LISTA;5;5,2072
sample100-1980.gr;BELLMANFORD;LISTA;6;5,7004
sample100-1980.gr;BELLMANFORD;LISTA;7;3,5497
sample100-1980.gr;BELLMANFORD;LISTA;8;3,3762
sample100-1980.gr;BELLMANFORD;LISTA;9;3,2441
sample100-1980.gr;BELLMANFORD;LISTA;10;3,3813
sample100-1980.gr;BELLMANFORD;LISTA;11;3,5284
sample100-1980.gr;BELLMANFORD;MATRIZ;1;19,7838
sample100-1980.gr;BELLMANFORD;MATRIZ;2;11,5519
sample100-1980.gr;BELLMANFORD;MATRIZ;3;7,9813
sample100-1980.gr;BELLMANFORD;MATRIZ;4;6,8916
sample100-1980.gr;BELLMANFORD;MATRIZ;5;7,5264
sample100-1980.gr;BELLMANFORD;MATRIZ;6;9,8076
sample100-1980.gr;BELLMANFORD;MATRIZ;7;8,1653
sample100-1980.gr;BELLMANFORD;MATRIZ;8;7,4994
sample100-1980.gr;BELLMANFORD;MATRIZ;9;7,5540
sample100-1980.gr;BELLMANFORD;MATRIZ;10;9,0260
sample100-1980.gr;BELLMANFORD;MATRIZ;11;9,2978
sample100-1980.gr;FLOYDWARSHALL;LISTA;1;227,3128
sample100-1980.gr;FLOYDWARSHALL;LISTA;2;238,7193
sample100-1980.gr;FLOYDWARSHALL;LISTA;3;193,0151
sample100-1980.gr;FLOYDWARSHALL;LISTA;4;158,4364
